"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled","msLevel","filename"
151.099316542782,151.099258422852,151.099365234375,118.132,112.89,123.416,637369.653007812,611009.943891341,75468.2265625,9,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
151.09940944726,151.099304199219,151.099517822266,180.27,171.001,185.516,610724.343889382,575476.680987077,62949.04296875,8,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
430.388865253182,430.387847900391,430.389617919922,151.108,143.3,156.348,421845.890741406,402529.712589612,59643.4296875,10,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
430.388712892747,430.388366699219,430.389099121094,182.986,179.005,188.419,413731.520467635,396034.470150759,61413.28125,8,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
430.388804899509,430.387847900391,430.389434814453,160.325,156.348,164.49,371601.786433594,355977.052437418,71033.5703125,9,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
152.15658886443,152.156539916992,152.156631469727,192.217,188.419,200.046,1579075.82926041,1441983.45963405,280589.65625,4,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
242.284102751606,242.283996582031,242.284332275391,192.217,187.151,197.513,463254.300818847,442920.350929856,57202.48828125,8,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
95.0239855171723,95.0239410400391,95.0240249633789,193.483,189.684,201.312,156686.791527344,146473.213574219,20606.578125,5,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
340.882039729395,340.881530761719,340.882873535156,189.684,161.96,205.268,1454583.08668679,1454541.09105043,67955.7734375,67955,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
91.0541109005646,91.0539627075195,91.0542526245117,140.585,17.581,215.408,10609226.2281173,10004472.2189119,123708.703125,30,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
257.053333069423,257.053009033203,257.053649902344,124.679,17.581,125.944,4135037.46637161,3953631.77504415,98005.5546875,20,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
257.053260911212,257.052947998047,257.053344726562,200.046,188.419,206.557,721582.209328961,688852.160502967,61359.3515625,12,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
257.053244721985,257.052856445312,257.053619384766,176.289,172.493,188.419,882048.896732423,850915.531013876,73250.3515625,15,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
257.053320868881,257.053161621094,257.053527832031,139.322,133.898,145.827,836369.126034071,812451.460700072,83059.9921875,17,1,0,1,"Beer_multibeers_1_fullscan1.mzML"
